Current Time (ns), Interval (ns)
1780070274342566902, 1003134
1780070274343561260, 994358
1780070274344565537, 1004277
1780070274345563883, 998346
1780070274346564322, 1000439
1780070274347563990, 999668
1780070274348564059, 1000069
1780070274349564518, 1000459
1780070274350563635, 999117
1780070274351564105, 1000470
1780070274352564173, 1000068
1780070274353563370, 999197
1780070274354566605, 1003235
1780070274355566373, 999768
1780070274356565851, 999478
1780070274357566010, 1000159
1780070274358565858, 999848
1780070274359565296, 999438
1780070274360571085, 1005789
1780070274361561426, 990341
1780070274362580580, 1019154
1780070274363573916, 993336
1780070274364587109, 1013193
1780070274365573172, 986063
1780070274366568511, 995339
1780070274367574241, 1005730
1780070274368581904, 1007663
1780070274369588665, 1006761
1780070274370557636, 968971
1780070274371536134, 978498
1780070274372558615, 1022481
1780070274373636438, 1077823
1780070274374551859, 915421
1780070274375689655, 1137796
1780070274376596447, 906792
1780070274377570700, 974253
1780070274378609922, 1039222
1780070274379577189, 967267
1780070274380535019, 957830
1780070274381569081, 1034062
1780070274382568268, 999187
1780070274383553600, 985332
1780070274384611096, 1057496
1780070274385574436, 963340
1780070274386593951, 1019515
1780070274387538436, 944485
1780070274388517976, 979540
1780070274389543703, 1025727
1780070274390601740, 1058037
1780070274391589996, 988256
1780070274392571290, 981294
1780070274393579784, 1008494
1780070274394571688, 991904
1780070274395545497, 973809
1780070274396574741, 1029244
1780070274397568297, 993556
1780070274398561012, 992715
1780070274399561953, 1000941
1780070274402571847, 3009894
1780070274403991870, 1420023
1780070274404562016, 570146
1780070274405777998, 1215982
1780070274406569096, 791098
1780070274407574956, 1005860
1780070274408538226, 963270
1780070274409900661, 1362435
1780070274410571806, 671145
1780070274411573598, 1001792
1780070274412579297, 1005699
1780070274413572893, 993596
1780070274414571329, 998436
1780070274415564682, 993353
1780070274416561575, 996893
1780070274417566413, 1004838
1780070274418565419, 999006
1780070274419564817, 999398
1780070274420564825, 1000008
1780070274421564483, 999658
1780070274422564532, 1000049
1780070274423564831, 1000299
1780070274424564950, 1000119
1780070274425564928, 999978
1780070274426565068, 1000140
1780070274427564545, 999477
1780070274428560967, 996422
1780070274429564722, 1003755
1780070274430564350, 999628
1780070274431564329, 999979
1780070274432564197, 999868
1780070274433564757, 1000560
1780070274434565186, 1000429
1780070274435564904, 999718
1780070274436564863, 999959
1780070274437563399, 998536
1780070274438564780, 1001381
1780070274439564147, 999367
1780070274440564627, 1000480
1780070274441564245, 999618
1780070274442563722, 999477
1780070274443564923, 1001201
1780070274444564661, 999738
1780070274445564860, 1000199
1780070274446563406, 998546
1780070274447565518, 1002112
1780070274448565738, 1000220
1780070274449565265, 999527
1780070274450561727, 996462
1780070274451565272, 1003545
1780070274452565011, 999739
1780070274453564959, 999948
1780070274454564767, 999808
1780070274455564666, 999899
1780070274456564814, 1000148
1780070274457564372, 999558
1780070274458564120, 999748
1780070274459564329, 1000209
1780070274460522570, 958241
1780070274461567663, 1045093
1780070274462564906, 997243
1780070274463564745, 999839
1780070274464564132, 999387
1780070274465563810, 999678
1780070274466564810, 1001000
1780070274467564929, 1000119
1780070274468562834, 997905
1780070274469564826, 1001992
1780070274470566778, 1001952
1780070274471566707, 999929
1780070274472566365, 999658
1780070274473567215, 1000850
1780070274474566703, 999488
1780070274475566451, 999748
1780070274476566569, 1000118
1780070274477566358, 999789
1780070274478566757, 1000399
1780070274479566735, 999978
1780070274480566644, 999909
1780070274481567193, 1000549
1780070274482566812, 999619
1780070274483567381, 1000569
1780070274484567099, 999718
1780070274485566587, 999488
1780070274486566255, 999668
1780070274487566924, 1000669
1780070274488564358, 997434
1780070274489562874, 998516
1780070274490566109, 1003235
1780070274491564294, 998185
1780070274492564974, 1000680
1780070274493565263, 1000289
1780070274494564700, 999437
1780070274495564479, 999779
1780070274496567313, 1002834
1780070274497565187, 997874
1780070274498564545, 999358
1780070274499566186, 1001641
1780070274500565533, 999347
1780070274501565793, 1000260
1780070274502563988, 998195
1780070274503565680, 1001692
1780070274504565718, 1000038
1780070274505565507, 999789
1780070274506564193, 998686
1780070274507562578, 998385
1780070274508563358, 1000780
1780070274509564880, 1001522
1780070274510564207, 999327
1780070274511567532, 1003325
1780070274512569223, 1001691
1780070274513576819, 1007596
1780070274516572196, 2995377
1780070274517576630, 1004434
1780070274518574845, 998215
1780070274519574604, 999759
1780070274520569546, 994942
1780070274521567991, 998445
1780070274522567699, 999708
1780070274523568018, 1000319
1780070274524568087, 1000069
1780070274525567635, 999548
1780070274526568014, 1000379
1780070274527567832, 999818
1780070274528565296, 997464
1780070274529568180, 1002884
1780070274530567518, 999338
1780070274531574970, 1007452
1780070274532568316, 993346
1780070274533568375, 1000059
1780070274534567792, 999417
1780070274535568102, 1000310
1780070274536564033, 995931
1780070274537567598, 1003565
1780070274538567647, 1000049
1780070274539567585, 999938
1780070274540567904, 1000319
1780070274541567352, 999448
1780070274542567731, 1000379
1780070274543569092, 1001361
1780070274544567618, 998526
1780070274545568518, 1000900
1780070274546567906, 999388
1780070274547567363, 999457
1780070274548567973, 1000610
1780070274549576217, 1008244
1780070274550567560, 991343
1780070274551566767, 999207
1780070274552567326, 1000559
1780070274553567635, 1000309
1780070274554567444, 999809
1780070274555566390, 998946
1780070274556567972, 1001582
1780070274557561538, 993566
1780070274558565144, 1003606
1780070274559565202, 1000058
1780070274560565151, 999949
1780070274561565370, 1000219
1780070274562565579, 1000209
1780070274563565527, 999948
1780070274564581075, 1015548
1780070274565576325, 995250
1780070274566580982, 1004657
1780070274567576422, 995440
1780070274568580819, 1004397
1780070274569653550, 1072731
1780070274570526762, 873212
1780070274571576577, 1049815
1780070274572578095, 1001518
1780070274573580571, 1002476
1780070274574576031, 995460
1780070274575574775, 998744
1780070274576569163, 994388
1780070274577582566, 1013403
1780070274578589077, 1006511
1780070274579588365, 999288
1780070274580587552, 999187
1780070274581580186, 992634
1780070274582568553, 988367
1780070274583567260, 998707
1780070274584565755, 998495
1780070274585565686, 999931
1780070274586571296, 1005610
1780070274587564532, 993236
