Current Time (ns), Interval (ns)
1780296651054450820, 1003067
1780296651055454692, 1003872
1780296651056453761, 999069
1780296651057445310, 991549
1780296651058447623, 1002313
1780296651059446254, 998631
1780296651060449848, 1003594
1780296651061448486, 998638
1780296651062451528, 1003042
1780296651063448792, 997264
1780296651064448070, 999278
1780296651065592491, 1144421
1780296651066448858, 856367
1780296651067433973, 985115
1780296651068444939, 1010966
1780296651069445769, 1000830
1780296651070448613, 1002844
1780296651071451193, 1002580
1780296651072449847, 998654
1780296651073445674, 995827
1780296651074447278, 1001604
1780296651075447396, 1000118
1780296651076449619, 1002223
1780296651077448257, 998638
1780296651078445792, 997535
1780296651079448012, 1002220
1780296651080447135, 999123
1780296651081447174, 1000039
1780296651082449180, 1002006
1780296651083438459, 989279
1780296651084448191, 1009732
1780296651085448526, 1000335
1780296651086446382, 997856
1780296651087448457, 1002075
1780296651088449338, 1000881
1780296651089449268, 999930
1780296651090449074, 999806
1780296651091447296, 998222
1780296651092446484, 999188
1780296651093595476, 1148992
1780296651094445456, 849980
1780296651095448539, 1003083
